trait,support_top2_needed,hit_event_support,top2_needed_rate
pos2=5,12,27,0.4444444444444444
pos1=7,12,33,0.36363636363636365
sum_mod4=2,26,74,0.35135135135135137
consec_links=0,33,99,0.3333333333333333
sum_mod3=0,28,85,0.32941176470588235
sum_mod5=2,20,62,0.3225806451612903
cnt7=1,29,91,0.31868131868131866
pos3=0,12,38,0.3157894736842105
has2=0,65,210,0.30952380952380953
cnt2=0,65,210,0.30952380952380953
has9=1,28,91,0.3076923076923077
high=3,24,78,0.3076923076923077
low=1,24,78,0.3076923076923077
cnt0=1,28,92,0.30434782608695654
sum_mod5=4,15,50,0.3
